Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193671,C0593.0000R,2024-04-09,2131.8999999999983,192.7,100.0,38.6,3860.0,16.654,86400,206,0,0,2,108,0,0,0,0,5,1,0,0,3,0,0,0,0,0
193671,C0593.0000R,2024-04-10,2134.0499999999997,193.2,96.5,39.0,3763.5,15.971,82800,190,0,0,1,72,0,0,0,0,7,7,0,0,0,0,0,0,0,0
193671,C0593.0000R,2024-04-11,2131.179999999999,193.3,93.8,36.2,3395.56,6.347,33014,175,0,0,2,56,0,0,0,0,4,6,0,0,1,0,0,0,0,0
193686,C1239.0000V,2024-04-20,2133.499999999998,124.0,57.2,31.5,1801.8000000000002,17.925,143032,234,0,0,0,28,0,0,0,0,0,51,1,0,7,0,0,0,0,0
193686,C1239.0000V,2024-04-21,2149.1499999999987,123.9,42.7,29.3,1251.1100000000001,18.973,152922,226,0,0,0,59,0,0,0,0,0,79,15,0,2,0,0,0,0,17
193686,C1239.0000V,2024-04-22,2135.78,124.4,91.8,36.2,3323.1600000000003,2.821,22834,295,0,0,0,45,0,0,0,0,0,6,13,0,5,0,0,0,0,0
193688,C1349.0000V,2024-04-18,2102.3599999999983,203.0,88.7,40.1,3556.8700000000003,18.936,93374,200,0,0,0,41,0,0,0,0,2,22,1,0,6,0,0,0,0,0
193688,C1349.0000V,2024-04-19,2113.8499999999995,202.3,83.8,42.8,3586.6399999999994,21.786,108000,182,0,0,0,79,0,2,0,2,0,6,9,0,7,0,0,0,0,1
193688,C1349.0000V,2024-04-20,2131.8599999999988,202.1,57.2,31.5,1801.8000000000002,1.003,5252,234,0,0,0,36,0,0,0,0,0,1,7,0,0,0,0,0,0,0
193689,C1299.0000R,2024-04-22,2135.78,161.7,91.8,36.2,3323.1600000000003,20.809,127810,295,0,0,0,32,1,0,0,5,4,14,12,0,17,0,0,0,1,0
